author,body,category,comments,date,hasImage,title
Germana Viana,",POV  16 — POV 18,Point of View é uma webcomic semanal, apaixonada por São Paulo, escrita por Carol Pimentel e desenhada por Germana Viana.,In English, please:,",Quadrinhos,,3 de outubro de 2017,True,Point of View 17
Lady's Comics,",O quê: a quadrinista Bianca Pinheiro está com campanha aberta para financiamento coletivo do seu novo quadrinho, Alho-poró. Clique aqui para saber mais!,,O quê: a quadrinista e editora argentina Mariela Acevedo ( Revista Clítoris ) e a pesquisadora Gabriela Borges ( Mina de HQ ) publicaram dois artigos sobre quadrinhos e gênero. Clique aqui para ler!,,O quê: a quadrinista Fabiane Lagona ( Chiqsland ) iniciou uma série semanal na Folha de S. Paulo. Clique aqui para saber mais!,,O quê: a quadrinista Bianca Reis ( Anna Bolenna – a perturbada da corte ) está com campanha aberta para o financiamento coletivo do seu novo livro, comemorando 5 anos de quadrinhos. Clique aqui para saber mais!,,O quê: o portal G1 publicou uma reportagem sobre o novo livro da quadrinista Cynthia B. , Estudante de Medicina. Clique aqui para ler!,,O quê: o quadrinista Lino ( Sapatoons Queerdinhos) publicou parte da sua tese/zine Monstrans: experimentando horrormonios . Clique aqui para ler!,(function(d, s, id) {  var js, fjs = d.getElementsByTagName(s)[0];  if (d.getElementById(id)) return;  js = d.createElement(s); js.id = id;  js.src = ""//connect.facebook.net/pt_BR/sdk.js#xfbml=1&version=v2.10"";  fjs.parentNode.insertBefore(js, fjs);}(document, 'script', 'facebook-jssdk'));,Feira do Livro de Gotemburgo | Mary Cagnin,Fui convidada pela Embaixada do Brasil em Estocolmo / Embassy of Brazil in Stockholm a participar da Feira do Livro de Gotemburgo (2017) e a participar de um Bate-papo ilustrado falando sobre meu trabalho e a presença feminina no mercado de quadrinhos no Brasil. Neste video vocês podem conferir um pouco do que vi e vivi nesta viagem para a Suécia! x),Publicado por Mary Cagnin Art em Quarta-feira, 4 de outubro de 2017,O quê: a quadrinista Mariana Cagnim postou um video sobre sua viagem à Feira do livro em Gotemburgo, onde participou de um bate-papo ilustrado sobre seu trabalho e a presença feminina no mercado de quadrinhos. Clique aqui para saber mais!,,O quê: o portal Minas Nerds publicou uma lista com 30 brasileiras para seguir no desafio Inktober. Clique aqui para ler!,,O quê: a artista Ana Paula Francotti inicou uma lista pública colaborativa com um Calendário de Feiras de Arte Impressa e Publicações Independentes. Clique aqui para acessar!,,O quê: o portal Raio Laser publicou uma série de resenhas de diversos quadrinhos, entre eles os das autoras Mazô , Catharina Baltar , Ina Carolina e Renata Rinaldi . Clique aqui para ler!",Links da Semana,,7 de outubro de 2017,True,Links da semana – 1 a 7/10
Germana Viana,",POV  17 — POV 19,Point of View é uma webcomic semanal, apaixonada por São Paulo, escrita por Carol Pimentel e desenhada por Germana Viana.",Quadrinhos,,10 de outubro de 2017,True,Point of View 18
Lady's Comics,",Oi pessoal! Como estão? Vocês devem ter percebido que demos uma sumida por aqui, né?,É que as coisas tem mudado desse lado de cá.,Somos e fomos sempre três ao longo desses anos. Como coletivo, todas as decisões foram tomadas juntas, respeitando as opiniões e os motivos de cada uma. Mesmo assim, somos pessoas diferentes, com caminhos distintos. E é hora de cada uma seguir o seu.,Com isso, anunciamos aqui para vocês que nos apoiaram todos esses anos que estamos encerrando as nossas atividades. Uma escolha difícil, mas necessária.,Depois de um bom tempo e muita reflexão, decidimos parar com o Lady’s por motivos pessoais e de trabalho.,O Lady’s Comics é maior que nós três e não é feito de caprichos. Ao contrário: é um meio de luta e voz. Através do coletivo, alcançamos muitas mulheres e incluir a todas sempre foi o objetivo. O Lady’s nunca vai deixar de ser o que é. Ele nos fez crescer e nos ensinou muito. Ele carrega um pedaço de cada uma de nós.,O site, e suas redes sociais, continuarão no ar para consultas.,Esperamos que entenda que foi uma decisão difícil e demorada. Por isso, preferimos não responder nada sobre o assunto. Estamos realizadas com tudo que fizemos por meio do coletivo e, apesar de lamentarmos o fim, estamos felizes de seguir em frente.,Agradecemos imensamente a troca que nos proporcionaram e a compreensão de cada.,Um beijo! E nos encontramos por aí.,,Mariamma e Samara","Especiais,Notícias",,22 de janeiro de 2018,True,Até mais!
Lady's Comics,"Por Lovelove6,O Prêmio Jabuti foi realizado pela primeira vez em 1959 pela Câmara Brasileira do Livro ( CBL ), uma associação civil sem fins lucrativos que, por meio de iniciativas como o prêmio literário, procura promover a leitura, valorizar e ampliar o mercado editorial brasileiro. O Jabuti conta atualmente com 29 categorias de premiação bastante diversas, de “Romance”, “Projeto Gráfico”, “Infantil digital” à “Teoria/crítica Literária, Dicionários e Gramáticas” e de forma inédita, em 2017, “Histórias em Quadrinhos”. Atualmente ele é o prêmio brasileiro de histórias em quadrinhos mais generoso, ofertando um valor de R$3.500,00 para o vencedor ou a vencedora da categoria.,Os finalistas de 2017 foram recentemente divulgados e, sem surpresa, na mesma perspectiva que praticamente todos os outros prêmios literários no Brasil, a discrepância entre a quantidade de mulheres indicadas em comparação à quantidade de homens é flagrante. A escritora Jarid Arraes fez a conta em seu perfil no Facebook : de 10 indicados, na maioria das categorias o número de mulheres não passa de 03. Na categoria de histórias em quadrinhos apenas 01 autora foi indicada entre 09 autores homens, a Sirlene Barbosa com sua obra “ Carolina “, que retrata a vida da escritora Carolina Maria de Jesus, lançada pela editora Veneta . Ainda que o tradicional e naturalizado machismo do mercado editorial brasileiro seja um forte fator para a manutenção da tímida presença de autoras no Jabuti em 2017, no caso da categoria de histórias em quadrinhos há outros fatores a serem considerados para justificar a ausência das autoras mulheres.,No regulamento do Prêmio Jabuti , consta na sessão “V das Inscrições”:,5.2.1 São os seguintes os valores das taxas de inscrição: 5.2.1.1 No caso de obra individual, por obra e por categoria na qual a mesma for inscrita: 5.2.1.1.1 R$ 285,00 (duzentos e oitenta e cinco reais) para associados CBL. 5.2.1.1.2 R$ 370,00 (trezentos e setenta reais) para associados de entidades congêneres. 5.2.1.1.3 R$ 430,00 (quatrocentos e trinta reais) para não associados.,Para uma autora de HQ concorrer ao Jabuti, é necessário que ela pague, por obra, R$430. A não ser que essa autora seja associada da Câmara Brasileira do Livro, cuja mensalidade é de R$140. Nesse caso ela pagaria R$285 por obra inscrita no Jabuti. Os valores das taxas de inscrição do Jabuti e de associação à CBL são muito caros para autoras de histórias em quadrinhos cuja realidade no Brasil, com exceção de umas ou outras, é de profissionais autônomas que se autopublicam independentemente de editoras. Observe que para os autores homens que se autopublicam também não está muito mais fácil: apenas um autor independente é finalista na categoria de HQ, o Gidalti Oliveira com “Castanha do Pará”. Existe dentro do regulamento do Jabuti um plano de desconto progressivo, ainda na sessão V:,5.2.1.3 Desconto progressivo para grupo de inscrições: De 10 a 30 inscrições: 5% sobre o valor total De 31 a 60 inscrições: 10% sobre o valor total De 61 a 100 inscrições: 15% sobre o valor total Mais de 100 inscrições: 20% sobre o valor total,Quem aproveita esses descontos são as editoras que têm um bom volume de obras para inscrever na competição. Parece que precisamos das editoras para conseguirmos um acesso maior ao Prêmio Jabuti, mas quantas editoras tem autoras brasileiras de hq em seus catálogos? Ninguém contou ainda os números oficiais, mas é raro ouvir falar em editoras publicando obras autorais de mulheres brasileiras. Mesmo as editoras mais próximas e conhecidas no mercado de quadrinhos têm muito poucas (ou nenhuma) autora em seu catálogo. Sem poder contar com as editoras, as autoras investem em se autopublicar e algumas até mantém micro editoras, trocam entre si serviços de revisão, design gráfico e distribuição, tentam fazer páreo com as editoras.,,Em 2015, pudemos fazer bastante pressão no Prêmio HQMIX em relação à ausência de mulheres indicadas, especialmente porque seu regulamento não apresentava reais obstáculos à participação das autoras, tornando o machismo da instituição mais explícito. Não podemos ignorar que, apesar de termos construído alguns bons canais de articulação e promovido algum progresso na nossa inclusão e moral dentro do mercado, as autoras de quadrinhos, brasileiras e independentes, ainda estamos pouco decididas em nos profissionalizar, no sentido de nos envolvermos e nos responsabilizarmos pelas burocracias e políticas que envolvem tornar a ocupação de quadrinista uma profissão reconhecida e mais valorizada. No caso do Prêmio Jabuti, algumas exigências do regulamento, como o código ISBN, revelam uma falha básica por parte das autoras independentes. Fato é que a maioria das autopublicadoras não tem cadastro no ISBN e isso é um problema que nós precisamos resolver se quisermos ter mais poder para fazer exigências às instituições como o Prêmio Jabuti. Pode ser inclusive importante que criemos esquemas para nos associarmos coletivamente a instituições como a CBL, se não temos condições de o fazer individualmente. E caso julgarmos que não é interessante para nós coletivamente nos associarmos às instituições tradicionais do mercado editorial, talvez devêssemos nos associar entre nós e enquanto instituição fazer uma bela pressão em cima das premiações, editoras e eventos. Falando em associações, sabia que existem algumas associações de quadrinistas e cartunistas no Brasil, Como a ACB – Associação dos Cartunistas do Brasil ? Como não lembrar da pretensiosa Academia Brasileira de Quadrinhos , a ABRAHQ. O que me parece é que apesar do machismo ser muito forte, as autoras de quadrinhos estão abrindo mão de um poder que elas poderiam reivindicar e exercer ao se organizar politicamente para além dos escrachos e manifestações contra discriminações e abusos.,Por enquanto, a história masculina das premiações, somada ao desinteresse das editoras, à realidade econômica e a essa “timidez profissional” da publicadora independente, autora de quadrinhos, torna improvável que vejamos um número maior de nós indicadas ao Prêmio Jabuti nos próximos anos. Mas não é como se estivéssemos de mãos atadas.,—,Lovelove6 é autora de histórias em quadrinhos e publica, desde 2013, em formato impresso e virtual. Também é u ma das organizadoras da Dente Feira de Publicações , realizada, desde 2015, anualmente em Brasília, DF.",Colaboração,,12 de outubro de 2017,True,Prêmio Jabuti e a ausência das quadrinistas
Aline Lemos,",,,A quadrinista Beliza Buzollo inicou em 2015 Na ponta da língua , série de tirinhas humorísticas sobre o cotidiano de mulheres que amam mulheres. Hoje, sua página tem mais de 31 mil curtidas e um novo perfil no instagram . A seguir, ela conversa conosco sobre sua relação com o público, o ativismo no seu trabalho e a visibilidade lésbica na cultura.,Aline: No​ ​Minas​ ​Nerds ​você​ ​contou ​ ​que​ ​começou​ ​a​ ​publicar​ ​as​ ​tirinhas​ ​aos​ ​poucos, primeiro​ ​para​ ​os​ ​amigos,​ ​depois​ ​em​ ​grupos​ ​LBT,​ ​até​ ​criar​ ​a​ ​Na​ ​Ponta​ ​da​ ​Língua.​ ​Fiquei com​ ​a​ ​impressão​ ​de​ ​que​ ​desde​ ​o​ ​início​ ​o​ ​público​ ​esteve​ ​muito​ ​perto​ de​ ​você​ ​e​ ​do​ ​seu trabalho,​ ​estou​ ​enganada?​ ​Como​ ​essa​ ​relação​ ​com​ ​os​ ​leitores​ ​te​ ​afeta​ ​na​ ​hora​ ​de colocar​ ​o​ ​lápis​ ​no​ ​papel?​ ​Agora​ ​que​ ​sua​ ​página​ ​tem​ ​mais​ ​de​ ​31​ ​mil​ ​curtidas,​ ​essa relação​ ​é​ ​diferente?,Beliza: Olha, você tá certa! Por estar tão inserida no universo que retrato, um alto nível de proximidade com as leitoras acaba sendo inevitável. A relação com elas é importante para ter contato com as diferentes experiências de sexualidade e é algo que cultivo com muito carinho. Afinal, uma das muitas propostas do Na Ponta da Língua é tentar mostrar de forma sensível um pouco desse universo tão plural que é o de mulheres LBT. Com o crescimento da página, isso ficou ainda mais palpável e acessível.,A: Você​ ​também​ ​disse​ ​que​ ​criou​ ​a​ ​página​ ​em​ ​​2015 porque percebeu​ ​que​ ​apesar​ ​da​ ​grande​ ​receptividade,​ ​quase​ ​não​ ​existiam​ ​quadrinhos​ ​voltados para​ ​mulheres​ ​que​ ​se​ ​relacionam​ ​com​ ​mulheres.​ ​De​ ​lá​ ​pra​ ​cá,​ ​você​ ​vê​ ​mudanças significativas​ ​na​ ​representatividade​ ​dessas​ ​mulheres​ ​nos​ ​quadrinhos?,B: As mudanças são tímidas, mas estão chegando. Principalmente nos quadrinhos independentes. Há mais qualidade e mais variedade de graphic novels e webcomics trabalhando essas representações – Rock and Riot , Fresh Romance , Infinite Loop , Lumberjanes , Monsterpop , PrincessPrincess são alguns exemplos felizes. Então sim, de fato as coisas melhoraram, mas ainda é difícil para pessoas LGBT encontrarem quadrinhos com conteúdo relacionável. Além de termos que pesquisar bastante, a maior parte do conteúdo produzido está em inglês – o que deixa ainda mais inacessível. Plataformas especializadas como vocês do Lady’s , Armazém de cultura, Minas Nerds têm sido fundamentais para a disseminação desses conteúdos e eu agradeço demais o investimento de vocês.,A: Dia 29 de agosto foi Dia Nacional da Visibilidade Lésbica. No​ ​que​ ​diz​ ​respeito​ ​especificamente​ ​à​ ​visibilidade​ ​lésbica​ ​na​ ​cultura​ ​e​ ​nos quadrinhos,​ ​que​ ​desafios​ ​você​ ​vê​ ​para o ​nosso​ ​momento?​ ​Gostaria​ ​de​ ​compartilhar​ ​alguma autora,​ ​projeto​ ​ou​ ​ideia​ ​que​ ​promova​ ​a​ ​visibilidade​ ​lésbica?,B: São muitos os desafios. A produção cultural é uma força significativa na normatização de costumes sociais. Ela simultaneamente reflete e cria a própria cultura em que está inserida, influenciando no que julgamos importante ou não. Se somos constantemente bombardeados com apenas um certo tipo de conteúdo (no caso, heterossexual), a mensagem promovida é a de que indivíduos que se desviam dessa norma simplesmente não existem na sociedade, ou estão à margem dela. Apesar das mudanças positivas no cenário LGBT e modesto aumento de sua presença nos grandes veículos de mídia, o espaço nele conquistado ainda é minúsculo e periférico. Precisamos estar mais numerosos para começar a ter a realidade de nossa comunidade melhor refletida.,,No que concerne a questão lésbica, há uma barreira dupla a ser transposta. Isso pois as produções culturais configuram um território não só predominantemente heterossexual como também masculino. Ou seja, além da questão da sexualidade, há o contexto patriarcal da sociedade que deslegitima a possibilidade do amor entre duas mulheres. O modelo heteronormativo de afeto banaliza e infantiliza nossas relações – elas simplesmente não são levadas a sério. Essa exclusão contribui para a perpetuação de estereótipos como “lésbicas só não encontraram o homem certo”, “querem ser homem”, “não fazem sexo de verdade”, e por aí vai. Precisamos cobrar dos produtores e criadores uma representação mais diversa e mais numerosa da sexualidade da mulher, pois enquanto seguirmos invisíveis esses estereótipos nocivos permanecerão.,Mas lutar por visibilidade é apenas uma parte do desafio: é nosso dever também questionar a qualidade de nossa representação.,De início, fica o apelo: parem de nos matar! Nos dêem finais felizes! Na maioria das narrativas as personagens acabam morrendo ou em finais trágicos e sofridos, frequentemente ligados à sua sexualidade. Há tanta morte de LGBT nas produções culturais que o fenômeno já tem até nome: Bury your Gays [enterrar nosso gays] – a Autostraddle fez uma lista de todas as personagens abertamente gays que já morreram na televisão. Estamos morrendo, sendo retratadas como sofredoras, alívio cômico, pervertidas ou repulsivas. Isso constrói uma visão negativa de nossa vivência e afasta o público de desejar se identificar com ela, pois não reflete uma experiência sadia e desejável. Para romper isso, precisamos de personagens vivos, assumidos e com narrativas multidimensionais que não girem exclusivamente em torno da sexualidade da personagem, assim como ocorre com as representações heterossexuais.,Outra questão que devemos denunciar é o Queerbaiting . Através de subtextos e entrelinhas, a prática se trata de induzir uma potencial atração homoafetiva entre as personagens, mas sem nunca explicita-la ou assumi-la. Dessa forma, a promessa da representatividade conquista a audiência LGBT sem se comprometer com seu público heterossexual – exemplos claros disso são Supernatural, Sherlock e Once upon a time . É uma tentativa de sair pela tangente e não pode ser aceita. Devemos exigir dos produtores um posicionamento mais explícito acerca da sexualidade de seus personagens e selecionar melhor as obras que merecem nossa atenção. How to get away with murder, Orphan black, Shameless, Orange is the new black são exemplos de produções que contém narrativas LGBT com muito mais nuance e que provam que representações bem feitas não impedem que a obra seja um sucesso. Parem de brincar com os corações de uma comunidade carente de representatividade de qualidade!,Além do mencionado, outro desafio seríssimo a ser superado na representatividade lésbica é a fetichização. Na maioria das vezes, a interação entre duas personagens em uma narrativa é limitada a uma alta carga de erotismo, renegando a relação entre mulheres a uma condição meramente sexual, objetificada e voltada ao olhar e prazer masculino. O problema é que no controle dessas narrativas há apenas produtores, desenhistas, diretores, escritores homens e heterossexuais. Se continuarmos partindo desse olhar vai ser muito difícil haver a criação de conteúdo para além da erotização. É importante, então, que as lésbicas não só estejam nas páginas ou nas telas, mas que sejam também a mão ativa por trás do desenvolvimento do enredo e das personagens. Partindo de alguém de quem possui conhecimento de causa, o amor entre mulheres pode ser retratado de forma real, multifacetada e com a complexidade psicológica merecida. Queremos arcos mais completos e narrativas mais sinceras. Denise ( Master of None ), Kat e Adena ( The bold type ), Korra e Asami ( Legend of Korra ), Saphire e Rubi / Pearl e Rose ( Steven Universe ), Miss America são alguns exemplos de produções que dão passos significativos em direção a representações mais sadias da comunidade.,Na cena cultural lésbica daqui do Brasil temos muitos destaques: a youtuber Louie Ponto , o grupo musical Obirin Trio , a rapper Luana Hansen , a websérie catarinense Super , o festival Dyke fest .,A: O​ ​que​ ​você​ ​gostaria​ ​de​ ​dizer​ ​para​ ​as​ ​mulheres​ ​lésbicas​ ​do​ ​mundo​ ​dos quadrinhos?,B: Multipliquem-se e apareçam! Para as poucas que conheço, continuem o seu trabalho: ele é necessário e vocês são incríveis.,A: O​ ​ativismo​ ​faz​ ​parte​ ​do​ ​seu​ ​trabalho​ ​e​ ​você​ ​não​ ​tem​ ​medo​ ​de​ ​assumir​ ​isso abertamente.​ ​O​ ​que​ ​significa​ ​pra​ ​você​ ​ser​ ​uma​ ​artista​ ​e​ ​ativista?​ ​Como​ ​isso​ ​faz​ ​parte​ ​do seu​ ​processo​ ​criativo,​ ​na​ ​prática?,B: A meu ver a arte é sempre política. Está sempre inserida em ou representando algum contexto histórico/social, mesmo que de forma sutil. No contexto LGBTfóbico em que vivemos, o próprio ato de sobreviver já é resistência. Ao produzir quadrinhos que representam essas realidades e buscam conscientização social, não teria como eu não ser ativista. Na prática do processo criativo, trata-se de prestar atenção e de saber reconhecer a imensa pluralidade das vivências LBT: apesar de eu fazer parte do meu público, nunca parto da premissa que a minha experiência é a universal, portanto busco sempre entrar em contato com diferentes vivências para tentar transmitir uma experiência mais integral. É um constante exercício de empatia, observação e pesquisa.,,A: E​ ​por​ ​que​ ​fazer​ ​quadrinhos,​ ​especificamente?,B: Além do gosto pessoal, foi a linguagem que me veio mais naturalmente para me expressar. Não entendia muito bem o porquê disso, mas hoje vejo os quadrinhos como uma das formas mais eficientes de se comunicar ideias e pensamentos de todos os tipos de complexidade. São um excelente meio para criar histórias que estimulem a mudança social. Em sua entrevista para a revista Cult Nick Sousanis conseguiu expressar de maneira consciente e poética a extensão da capacidade de comunicação através dos quadrinhos. Faço das suas palavras as minhas: “Os quadrinhos nos permitem ver coisas de forma única, porque unem o pensamento sequencial (que é como nós lemos) e o pensamento simultâneo (como nós vemos) – o que, na minha opinião, é o mais próximo de como nossos pensamentos funcionam: nós temos pensamentos lineares, e daí tangentes; e ao mesmo tempo pensamentos pairando aos lados, e pensamentos que se sobrepõem. Tudo isso fica muito difícil de representar de uma forma rígida e direta sem que muito se perca. Acho que os quadrinhos colocam tudo no papel de uma vez, de forma organizada e com menos perdas de conteúdo, para que o leitor possa descobrir tudo em seu próprio tempo. E isso não é bobo: é o jeito que nossas mentes trabalham.”,A: O​ ​Armazém​ ​de cultura ​escreveu​ ​uma​ ​vez​ ​ sobre​ ​a​ ​capacidade​ ​subversiva​ ​do​ ​seu humor​ ​​ ​e eu​ ​fiquei​ ​pensando​ ​em​ ​como​ ​essa​ ​é​ ​uma​ ​parte​ ​forte​ ​da​ ​tradição​ ​dos​ ​quadrinhos​ ​e cartuns​ ​políticos​ ​brasileiros.​ ​Você​ ​está​ ​aí,​ ​fazendo​ ​o​ ​melhor​ ​da​ ​tradição,​ ​mas​ ​de​ ​um​ ​jeito ainda​ ​mais​ ​subversivo.​ ​Fica​ ​claro​ ​para​ ​mim​ ​que​ ​essa​ ​é​ ​uma​ ​contribuição​ ​para​ ​o​ ​cenário do​ ​quadrinho​ ​nacional​ ​como​ ​um​ ​todo,​ ​mesmo​ ​que​ ​(ou​ ​ainda​ ​mais​ ​porque)​ ​você​ ​se​ ​dirija a​ ​mulheres​ ​lésbicas​ ​e​ ​bissexuais​ ​especificamente.​ ​Fico​ ​muito​ ​frustrada​ ​quando manifestações​ ​de​ ​grupos​ ​“minoritários”​ ​(ênfase​ ​nas​ ​aspas)​ ​são​ ​relegadas​ ​ao​ ​lugar​ ​do “nicho”​ ​–​ ​livros​ ​escritos​ ​por​ ​mulheres​ ​só​ ​na​ ​seção​ ​feminina,​ ​pessoas​ ​LGBT​ ​ou​ ​negras​ ​só em​ ​eventos​ ​sobre​ ​questões​ ​de​ ​gênero​ ​ou​ ​raciais,​ ​etc.​ ​Essa​ ​é​ ​uma​ ​questão​ ​para​ ​você? Afeta​ ​o​ ​seu​ ​trabalho​ ​de​ ​alguma​ ​forma?,B: É uma questão que me pego refletindo constantemente. O que é um filme LGBT? É humor? Ação? Comédia? Isso não diz nada, não é uma categoria autossuficiente. É importante nos unirmos em debates e espaços seguros, mas é igualmente relevante levar o debate para fora de nossas bolhas. As categorias de nicho perpetuam a noção de que a minoria é unicamente definida pela sua condição de minoria, quando na realidade somos muito mais que apenas nosso gênero, raça ou sexualidade. E se passamos a maior parte do nosso tempo tentando nos identificar em narrativas heteroafetivas porque o contrário não pode ser possível?,Meu trabalho em específico carrega um forte cunho de militância LGBT, tendo como tema principal nossas vivências cotidianas. Mas não só. No fundo, trata de experiências, relacionamentos e sentimentos que em sua essência transcendem sexualidade. Prova disso é a significativa parcela do meu público que é hétero e se identifica com o conteúdo. Ter conseguido isso é uma das muitas coisas que orgulham no NPDL. Compartilhamos mais do que imaginamos e com a nossa luta por respeito e aceitação, é o que buscamos demonstrar.,A: Qual é o seu quadrinho mais popular? E o que você mais gosta?,B: Sinceramente não tenho um que mais goste. Pode soar clichê, mas são todos uma parte muito importante da trajetória que vem sendo construída pelo NPDL. Eu diria que o quadrinho que eu mais gosto é sempre o próximo, pois significa que o trabalho continua.,A: Em quais projetos você está trabalhando agora?,B: É muita novidade que ainda vem vindo! De imediato, agora o Na Ponta da Língua tem uma conta no instagram. Tem conteúdo exclusivo, dia-a-dia do NPDL, sketches, notícias, e recomendações de textos e publicações tanto LGBT quanto de quadrinhos. Estão todos convidados a conferir e seguir: @napontadalingua_hq . Colem lá, gente! Além disso, estou trabalhando em um novo zine a ser lançado na Santos Comic Expo. Não quero dar muitos detalhes, mas ele é tudo o que eu gostaria de ter tido acesso quando estava começando a carreira lésbica!,Gostaria de agradecer ao Lady’s Comics pelo trabalho sempre incrível de vocês e por terem me dado esse espaço. O mundo é um lugar melhor por vocês existirem. Um beijão Na Ponta da Língua!,,Leia também:,Visibilidade lésbica nos quadrinhos , por Gabriela Borges,HQs nacionais promovem a visibilidade bissexual e resistência LGBT , por Aline Lemos",Entrevistas,,5 de outubro de 2017,True,Bate-papo​ ​com​ ​Beliza​ ​Buzollo
Germana Viana,",POV  15 — POV 17,Point of View é uma webcomic semanal, apaixonada por São Paulo, escrita por Carol Pimentel e desenhada por Germana Viana.,In English, please:,",Quadrinhos,,26 de setembro de 2017,True,Point of View 16
Lady's Comics,",O quê: o podcast HQ Sem Roteiro entrevistou a quadrinista Thaiz Leão ( Mãe Solo ) sobre seu trabalho e a desromantização da maternidade. Clique aqui para ouvir!,(function(d, s, id) {  var js, fjs = d.getElementsByTagName(s)[0];  if (d.getElementById(id)) return;  js = d.createElement(s); js.id = id;  js.src = ""//connect.facebook.net/pt_BR/sdk.js#xfbml=1&version=v2.10"";  fjs.parentNode.insertBefore(js, fjs);}(document, 'script', 'facebook-jssdk'));,Mulheres e quadrinhos: O grito das minas nas HQs,No sábado, dia 23/09, a Mina de HQ organizou uma tarde de imersão na produção feminina de quadrinhos na UGRA PRESS. <3Rolou conversa com a quadrinista Germana Viana, premiada pelo HQMix por ""As empoderadas"", a pesquisadora Dani Marino, e a jornalista Gabriela Borges, criadora da página. Teve também venda exclusiva de livros da Revista Clítoris, publicação argentina de quadrinhos e feminismo, e do zine ""Anarcha Glam"", do coletivo CarnesTolendas. Política sexual en viñetas, além de sorteio de ""Peek a Boo"", da Psonha (Plot Editorial) e venda com descontos especiais de livros da Editora Nemo.INSCREVA_SE NO CANAL: http://bit.ly/minadehq_youtubeSIGA A MINA DE HQ NAS REDES SOCIAIS:http://instagram.com/MinadeHQhttp://facebook.com/MinadeHQ,Publicado por Mina de HQ em Segunda, 25 de setembro de 2017,O quê: A jornalista Keli Vasconcelos escreveu uma reportagem sobre o Grito das Minas nas HQs , evento promovido pela página Mina de HQ . Clique aqui para ler!,,O quê: A revista Monotipia entrevistou a quadrinista Cora Ottoni , que está com campanha aberta no catarse para a publicação do seu livro de tirinhas. Clique aqui para ler!,,O quê: A quadrinista e pesquisadora Carolina Ito ( Salsicha em Conserva ) publicou na Revista Trip uma reportagem sobre a revista Clítoris e as quadrinistas argentinas. Clique aqui para ler!,,O quê : O jornal português P3 publicou uma reportagem sobre o selo de publicações Sapata Press , focado em fanzines de mulheres e pessoas não-binárias e editado pela brasileira Cecília Silveira . Clique aqui para ler!,,O quê: O portal Minas Nerds publicou uma reportagem sobre o desfile da Prada Primavera/Verão 18, inspirada nas mulheres dos quadrinhos. Clique aqui para ler!,,O quê: Acontecerá no dia 30/9 na Quanta Academia de Artes em São Paulo um bate-papo com a roteirista Petra Leão , para discutir a adaptação cinematográfica da Mulher Maravilha. Clique aqui para saber mais!,,O quê: Acontecerá no dia 11/10 a inauguração da Fanzinoteca de Macaé e da I Mostra Peibê, que está recebendo doações de fanzines. Clique aqui para saber mais!,,O quê: Acontecerá no dia 22/10 em Sorocaba a feira de publicações independentes Ilustra Comic Fest. Cique aqui para saber mais!",Links da Semana,,29 de setembro de 2017,True,Links – 24 a 30/9
Lady's Comics,",O quê: A quadrinista Bárbara Malagoli está publicando às terças a série Jinx , no site Novo Amanhecer . Clique aqui para ler!,,O quê: A pesquisadora Lili Ferreira publicou no Pararraios Comics um texto sobre o quadrinho Garota Siririca de Lovelove6 e a pesquisa de Jéssica Ocaña sobre o mesmo. Clique aqui para ler!,,O quê: A quadrinista Cora Ottoni está em campanha para financiamento coletivo do livro reunindo suas tirinhas. Clique aqui para saber mais!,,O quê: A quadrinista Julia Bax está em campanha para financiamento coletivo da publicação do quadrinho Nina & Tomas . Clique aqui para saber mais!,,O quê: O selo móri impressões abriu até o dia 5 de outubro uma chamada para publicar zines a serem expostas na Festa do Livro e da Leitura de São Miguel Paulista, de 08 a 10 de novembro. Clique aqui para saber mais!,,O quê: Acontece hoje (23) na Gibiteca de Santos o bate papo “Publicando HQs: O caminho das pedras” , às 15h com as autoras Mariana Cagnin e Larissa Palmieri. Clique aqui para saber mais!,,O quê: Acontecerá nos dias 25, 26 e 27 de setembro em Belo Horizonte o evento “Literatura e quadrinhos – Diálogos possíveis”. Clique aqui para conhecer a programação!,,O quê: Acontecerá no dia 30/9 em São Paulo o lançamento da Revista Plaf. Clique aqui para saber mais!",Links da Semana,,23 de setembro de 2017,True,Links da semana – 17 a 23/9
Germana Viana,",POV  14 — POV 16,Point of View é uma webcomic semanal, apaixonada por São Paulo, escrita por Carol Pimentel e desenhada por Germana Viana.,Oi! Germana aqui o/ Tudo bom? Ontem, 18 de setembro, foi aniversário da Carol, passe lá na timeline dela pra deixar um beijo e um parabéns! <3",Quadrinhos,,19 de setembro de 2017,True,Point of View 15
